2026-06-11 10:16:06 | INFO    | cli.ref_m4 | Services : ['B2BCASHOUT', 'CASHIN', 'CASHOUT', 'DELSCR', 'ENT2REG', 'MERCHPAY', 'O2C', 'OPTW', 'P2P', 'RC', 'ROLLBACK', 'STOCK', 'TXNCORRECT']
2026-06-11 10:16:06 | INFO    | cli.ref_m4 | Republier M4 : supprimer models/M4_commissions/registry.json et le dossier de version, puis python scripts/publier_modeles.py
2026-06-11 10:16:07 | INFO    | cli.drift_refs | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet (colonnes : ['TRANSACTION_AMOUNT'])
2026-06-11 10:16:08 | INFO    | cli.drift_refs | Référence TRANSACTION_AMOUNT : 25,456,467 obs
2026-06-11 10:16:08 | INFO    | cli.drift_refs | ✅ Références écrites : /home/koceila_salem_orange_com/ML/models/drift_references.json
2026-06-11 10:16:10 | INFO    | registry | Modèle M1_fraude publié : version 2026-06-11_v1
2026-06-11 10:16:10 | INFO    | cli.publier | M1_fraude publié -> 2026-06-11_v1
2026-06-11 10:16:10 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:16:10 | INFO    | registry | Modèle M4_commissions publié : version 2026-06-11_v1
2026-06-11 10:16:10 | INFO    | cli.publier | M4_commissions publié -> 2026-06-11_v1
2026-06-11 10:16:10 | INFO    | cli.publier | M5_echec : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:16:10 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:16:11 | INFO    | cli.run_inference | Chargement : data/processed/OM_clean.parquet
2026-06-11 10:16:13 | INFO    | pipeline | ═══ RUN 20260611_101613 ═══ 25,456,467 transactions
2026-06-11 10:16:20 | INFO    | validation | ✓ Colonnes requises présentes (7)
2026-06-11 10:16:20 | INFO    | validation | ✓ Volume : 25,456,467 transactions
2026-06-11 10:16:20 | INFO    | validation | ✓ Montants numériques OK
2026-06-11 10:16:20 | INFO    | validation | ✓ Dates parsables OK
2026-06-11 10:16:20 | WARNING | validation | ⚠ 10,161 TRANSFER_ID dupliqués (dédoublonnage appliqué en aval)
2026-06-11 10:16:20 | INFO    | monitoring.drift | PSI TRANSACTION_AMOUNT = 0.0000 [stable]
2026-06-11 10:16:20 | INFO    | monitoring.drift | Verdict drift global : stable
2026-06-11 10:16:20 | INFO    | pipeline | Modèles à exécuter : ['m1_fraude', 'm2_mules', 'm4_commissions', 'm5_echec', 'm6_reconciliation']
2026-06-11 10:16:20 | INFO    | pipeline | Feature engineering (blocs A-D)...
2026-06-11 11:32:01 | INFO    | cli.ref_m4 | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet
2026-06-11 11:32:13 | INFO    | cli.ref_m4 | ✅ Référence M4 : 13 services -> /home/koceila_salem_orange_com/ML/models/M4_commissions/stats_par_service.json
2026-06-11 11:32:13 | INFO    | cli.ref_m4 | Services : ['B2BCASHOUT', 'CASHIN', 'CASHOUT', 'DELSCR', 'ENT2REG', 'MERCHPAY', 'O2C', 'OPTW', 'P2P', 'RC', 'ROLLBACK', 'STOCK', 'TXNCORRECT']
2026-06-11 11:32:13 | INFO    | cli.ref_m4 | Republier M4 : supprimer models/M4_commissions/registry.json et le dossier de version, puis python scripts/publier_modeles.py
2026-06-11 11:32:14 | INFO    | cli.drift_refs | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet (colonnes : ['TRANSACTION_AMOUNT'])
2026-06-11 11:32:15 | INFO    | cli.drift_refs | Référence TRANSACTION_AMOUNT : 25,456,467 obs
2026-06-11 11:32:15 | INFO    | cli.drift_refs | ✅ Références écrites : /home/koceila_salem_orange_com/ML/models/drift_references.json
2026-06-11 11:49:16 | INFO    | registry | Modèle M1_fraude publié : version 2026-06-11_v1
2026-06-11 11:49:16 | INFO    | cli.publier | M1_fraude publié -> 2026-06-11_v1
2026-06-11 11:49:16 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 11:49:16 | INFO    | registry | Modèle M4_commissions publié : version 2026-06-11_v1
2026-06-11 11:49:16 | INFO    | cli.publier | M4_commissions publié -> 2026-06-11_v1
2026-06-11 11:49:16 | INFO    | cli.publier | M5_echec : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 11:49:16 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 11:49:17 | INFO    | cli.run_inference | Chargement : data/processed/OM_clean.parquet
2026-06-11 11:49:19 | INFO    | pipeline | ═══ RUN 20260611_114919 ═══ 25,456,467 transactions
2026-06-11 11:49:25 | INFO    | validation | ✓ Colonnes requises présentes (7)
2026-06-11 11:49:25 | INFO    | validation | ✓ Volume : 25,456,467 transactions
2026-06-11 11:49:25 | INFO    | validation | ✓ Montants numériques OK
2026-06-11 11:49:25 | INFO    | validation | ✓ Dates parsables OK
2026-06-11 11:49:25 | WARNING | validation | ⚠ 10,161 TRANSFER_ID dupliqués (dédoublonnage appliqué en aval)
2026-06-11 11:49:25 | INFO    | monitoring.drift | PSI TRANSACTION_AMOUNT = 0.0000 [stable]
2026-06-11 11:49:25 | INFO    | monitoring.drift | Verdict drift global : stable
2026-06-11 11:49:25 | INFO    | pipeline | Modèles à exécuter : ['m1_fraude', 'm2_mules', 'm4_commissions', 'm5_echec', 'm6_reconciliation']
2026-06-11 11:49:25 | INFO    | pipeline | Feature engineering (blocs A-D)...
2026-06-11 12:05:12 | INFO    | pipeline | Features OK : 49 colonnes f_*
2026-06-11 12:05:12 | WARNING | inference.M1_fraude | Segment faible : artefacts absents (ignoré)
2026-06-11 12:05:12 | WARNING | inference.M1_fraude | Segment moyen : artefacts absents (ignoré)
2026-06-11 12:05:12 | WARNING | inference.M1_fraude | Segment eleve : artefacts absents (ignoré)
2026-06-11 12:05:12 | WARNING | inference.M1_fraude | Segment technique : artefacts absents (ignoré)
2026-06-11 12:05:12 | ERROR   | pipeline | ❌ m1_fraude : [M1_fraude] RuntimeError: Aucun modèle de segment chargé pour M1.
2026-06-11 12:05:12 | INFO    | inference.M2_mules | M2 chargé : scaler + params
2026-06-11 12:05:59 | INFO    | inference.M2_mules | Scoring terminé : 500 alertes en 47.4s
2026-06-11 12:06:00 | INFO    | inference.M2_mules | Exports : ['M2_mules_alertes.csv', 'M2_mules_scores.parquet', 'M2_mules_stats.json']
